100001,10001,122
100001,10002,92
100001,10003,84
100001,10004,107
100001,10005,204
100001,10006,431
100001,10007,81
100001,10008,285
100001,10009,208
100002,10001,359
100002,10002,60
100002,10003,366
100002,10004,269
100002,10005,485
100002,10006,289
100002,10007,169
100002,10008,178
100002,10009,233
100003,10001,415
100003,10002,335
100003,10003,16
100003,10004,65
100003,10005,499
100003,10006,191
100003,10007,222
100003,10008,34
100003,10009,83
100004,10001,223
100004,10002,197
100004,10003,328
100004,10004,216
100004,10005,212
100004,10006,3
100004,10007,81
100004,10008,360
100004,10009,217
100005,10001,327
100005,10002,93
100005,10003,303
100005,10004,379
100005,10005,325
100005,10006,469
100005,10007,463
100005,10008,72
100005,10009,247
100006,10001,372
100006,10002,281
100006,10003,226
100006,10004,481
100006,10005,198
100006,10006,453
100006,10007,118
100006,10008,88
100006,10009,175
100007,10001,57
100007,10002,302
100007,10003,462
100007,10004,40
100007,10005,318
100007,10006,318
100007,10007,11
100007,10008,22
100007,10009,107
100008,10001,449
100008,10002,170
100008,10003,190
100008,10004,209
100008,10005,334
100008,10006,133
100008,10007,167
100008,10008,157
100008,10009,192
100009,10001,284
100009,10002,169
100009,10003,469
100009,10004,125
100009,10005,359
100009,10006,75
100009,10007,480
100009,10008,188
100009,10009,3
100010,10001,137
100010,10002,146
100010,10003,279
100010,10004,457
100010,10005,22
100010,10006,302
100010,10007,235
100010,10008,167
100010,10009,6
100011,10001,132
100011,10002,226
100011,10003,434
100011,10004,20
100011,10005,471
100011,10006,331
100011,10007,446
100011,10008,387
100011,10009,220
100012,10001,378
100012,10002,94
100012,10003,384
100012,10004,25
100012,10005,227
100012,10006,276
100012,10007,417
100012,10008,228
100012,10009,327
100013,10001,482
100013,10002,470
100013,10003,294
100013,10004,459
100013,10005,354
100013,10006,145
100013,10007,493
100013,10008,258
100013,10009,275
100014,10001,199
100014,10002,14
100014,10003,59
100014,10004,462
100014,10005,150
100014,10006,104
100014,10007,500
100014,10008,301
100014,10009,194
100015,10001,146
100015,10002,58
100015,10003,425
100015,10004,228
100015,10005,455
100015,10006,320
100015,10007,138
100015,10008,417
100015,10009,476
100016,10001,173
100016,10002,6
100016,10003,320
100016,10004,101
100016,10005,133
100016,10006,291
100016,10007,360
