100001,10001
100001,10016
100001,10020
100002,10001
100002,10016
100002,10013
100003,10001
100003,10015
100003,10012
100003,10013
100004,10001
100004,10016
100004,10020
100005,10001
100005,10016
100005,10012
100006,10001
100006,10015
100006,10012
100006,10013
100007,10001
100007,10015
100007,10020
100008,10001
100008,10016
100008,10013
100009,10001
100009,10015
100009,10013
100010,10001
100010,10015
100010,10012
100011,10002
100011,10016
100011,10020
100012,10002
100012,10015
100012,10020
100013,10002
100013,10015
100013,10012
100013,10019
100014,10002
100014,10015
100014,10012
100015,10002
100015,10017
100015,10020
100016,10002
100016,10014
100017,10006
100017,10017
100017,10018
100018,10006
100018,10018
100018,10019
100019,10006
100019,10017
100019,10018
100020,10006
100020,10017
100020,10018
100021,10006
100021,10018
100021,10019
100022,10006
100022,10018
100023,10003
100023,10012
100023,10015
100024,10003
100024,10013
100024,10016
100024,10019
100025,10003
100025,10014
100025,10017
100026,10003
100026,10013
100026,10012
100027,10003
100027,10014
100027,10015
100028,10003
100028,10015
100028,10013
100029,10003
100029,10016
100029,10014
100029,10019
100030,10004
100030,10015
100030,10014
100031,10004
100031,10015
100031,10014
100032,10004
100032,10015
100032,10014
100033,10004
100033,10015
100033,10014
100033,10013
100033,10019
100034,10004
100034,10015
100034,10014
100034,10019
100035,10004
100035,10015
100035,10014
100036,10004
100036,10015
100036,10014
100036,10019
100037,10004
100037,10015
100037,10014
100037,10019
100038,10004
100038,10015
100038,10014
100038,10020
100039,10005
100039,10012
100039,10020
100040,10005
100040,10013
100041,10005
100041,10012
100041,10015
100041,10013
100042,10005
100042,10013
100043,10005
100043,10012
100043,10013
100044,10005
100044,10012
100044,10015
100045,10005
100045,10012
100045,10015
100045,10013
100046,10005
100046,10012
100046,10013
100047,10005
100047,10012
100047,10015
100048,10007
100048,10012
100048,10015
100049,10007
100049,10012
100049,10015
100049,10013
100049,10020
100050,10007
100050,10012
100050,10020
100051,10007
100051,10012
100051,10015
100051,10013
100052,10008
100052,10012
100052,10015
100053,10008
100053,10012
100053,10015
100054,10008
100054,10012
100054,10015
100055,10008
100055,10012
100055,10015
100056,10008
100056,10012
100056,10015
100057,10008
100057,10012
100057,10015
100058,10008
100058,10012
100058,10015
100059,10008
100059,10012
100059,10015
100060,10009
100060,10012
100060,10020
100061,10009
100061,10013
100061,10020
100062,10009
100062,10012
100062,10015
100063,10009
100063,10012
100063,10015
100064,10009
100064,10012
100064,10013
100065,10010
100065,10013
100065,10019
100066,10010
100066,10013
100067,10010
100067,10013
100067,10015
100067,10019
100068,10010
100068,10012
100069,10010
100069,10012
100069,10015
100070,10010
100070,10012
100070,10015
100071,10010
100071,10013
100072,10010
100072,10012
100072,10015
100073,10010
100073,10013
100073,10015
100074,10010
100074,10013
100074,10015
100075,10010
100075,10013
100075,10019
100076,10011
100076,10020
100076,10013
100076,10016
100077,10011
100077,10020
100077,10013
100077,10016
100078,10011
100078,10020
100078,10013
100078,10015
100079,10011
100079,10020
100079,10013
100079,10016
100080,10011
100080,10020
100080,10015
100080,10013
100081,10011
100081,10013
100081,10020
100081,10016
100082,10011
100082,10013
100082,10020
100082,10016
100083,10011
100083,10013
100083,10015
100083,10020
